time,relative_humidity_2m (%),precipitation_probability (%),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),visibility (m),wind_speed_80m (km/h),temperature_80m (°C)
2025-11-08T00:00,75,0,0.00,1016.5,837.6,43620.00,38.3,2.4
2025-11-08T01:00,80,0,0.00,1016.5,837.5,32620.00,38.4,2.0
2025-11-08T02:00,83,0,0.00,1016.4,837.3,26560.00,37.3,1.8
2025-11-08T03:00,87,0,0.00,1016.2,836.9,17800.00,38.7,1.4
2025-11-08T04:00,86,0,0.00,1015.9,836.7,21100.00,34.3,1.5
2025-11-08T05:00,85,0,0.00,1015.9,836.8,22420.00,32.7,1.7
2025-11-08T06:00,86,0,0.00,1015.6,836.4,20720.00,27.3,1.5
2025-11-08T07:00,85,0,0.00,1015.4,836.5,21820.00,24.7,1.8
2025-11-08T08:00,80,0,0.00,1015.3,837.0,28060.00,23.0,1.9
2025-11-08T09:00,75,0,0.00,1015.6,837.9,35960.00,21.3,2.6
2025-11-08T10:00,73,0,0.00,1015.4,837.9,37200.00,20.3,2.6
2025-11-08T11:00,74,0,0.00,1014.8,837.7,35040.00,18.2,2.9
2025-11-08T12:00,73,0,0.00,1014.0,837.4,38340.00,14.8,3.6
2025-11-08T13:00,74,0,0.00,1013.6,837.1,36980.00,11.7,3.9
2025-11-08T14:00,79,0,0.00,1013.9,836.8,27140.00,10.1,3.2
2025-11-08T15:00,88,5,0.00,1014.5,836.7,16980.00,1.3f,2.8
2025-11-08T16:00,93,25,0.10,1014.8,836.4,7000.00,6.5,1.9
2025-11-08T17:00,91,48,0.00,1014.6,836.4,12160.00,7.0,2.7
2025-11-08T18:00,97,53,0.00,1015.1,836.7,2940.00,2.4,2.0
2025-11-08T19:00,98,48,0.00,1015.0,836.5,2060.00,1.3,1.6
2025-11-08T20:00,99,50,0.50,1015.8,836.8,1780.00,0.0,1.4
2025-11-08T21:00,100,48,0.40,1015.8,836.7,640.00,1.3,1.0
2025-11-08T22:00,100,53,0.00,1015.9,836.6,180.00,3.6,1.2
2025-11-08T23:00,100,33,0.00,1016.0,836.5,140.00,5.0,1.0
2025-11-09T00:00,100,28,0.00,1016.0,836.4,180.00,1.9,0.5
2025-11-09T01:00,99,20,0.00,1016.0,836.4,660.00,2.2,0.4
2025-11-09T02:00,99,23,0.00,1015.7,836.2,1060.00,2.8,0.4
2025-11-09T03:00,100,20,0.00,1015.8,836.1,1000.00,1.8,0.3
2025-11-09T04:00,100,25,0.00,1015.9,836.0,380.00,4.6,-0.1
2025-11-09T05:00,100,15,0.00,1015.9,836.0,60.00,2.2,-0.2
2025-11-09T06:00,100,13,0.00,1016.0,836.0,60.00,1.8,-0.4
2025-11-09T07:00,100,23,0.00,1016.5,836.3,120.00,1.3,-0.5
2025-11-09T08:00,98,25,0.00,1016.6,836.8,600.00,2.9,-0.3
2025-11-09T09:00,96,13,0.00,1016.7,837.1,1400.00,2.3,-0.2
2025-11-09T10:00,94,23,0.00,1016.4,837.0,4820.00,4.5,-0.1
2025-11-09T11:00,98,25,0.10,1016.4,836.8,500.00,2.5,-0.2
2025-11-09T12:00,98,48,0.90,1016.4,836.7,660.00,0.8,-0.3
2025-11-09T13:00,96,58,0.70,1016.5,836.6,1300.00,1.5,-0.2
2025-11-09T14:00,100,63,0.80,1016.4,836.4,80.00,3.6,-0.3
2025-11-09T15:00,100,65,0.80,1016.5,836.3,80.00,2.5,-0.5
2025-11-09T16:00,100,58,0.50,1016.8,836.5,100.00,3.6,-0.6
2025-11-09T17:00,100,55,0.40,1017.1,836.8,160.00,5.6,-0.8
2025-11-09T18:00,100,53,0.40,1017.2,836.8,480.00,5.3,-0.7
2025-11-09T19:00,100,43,0.90,1017.3,836.8,200.00,3.1,-0.7
2025-11-09T20:00,97,45,0.60,1017.6,836.9,1760.00,4.8,-0.9
2025-11-09T21:00,98,45,0.40,1017.6,836.9,740.00,4.7,-0.7
2025-11-09T22:00,99,45,0.40,1017.6,836.9,820.00,5.2,-0.8
2025-11-09T23:00,98,38,0.10,1017.7,836.8,2140.00,4.6,-0.7
2025-11-10T00:00,97,43,0.00,1017.6,836.7,2980.00,5.2,-0.8
2025-11-10T01:00,98,43,0.00,1017.4,836.5,2280.00,6.2,-1.0
2025-11-10T02:00,95,28,0.00,1016.9,836.2,4180.00,7.4,-0.9
2025-11-10T03:00,97,35,0.00,1016.8,836.3,2240.00,9.5,-0.5
2025-11-10T04:00,98,48,0.00,1016.9,836.3,1980.00,6.6,-0.5
2025-11-10T05:00,97,45,0.00,1016.8,836.3,2420.00,8.7,-0.5
2025-11-10T06:00,97,45,0.00,1016.7,836.4,2560.00,8.4,-0.8
2025-11-10T07:00,100,43,0.00,1016.9,836.6,220.00,9.7,-0.8
2025-11-10T08:00,100,40,0.00,1017.0,836.8,100.00,6.9,-0.5
2025-11-10T09:00,99,40,0.00,1016.9,836.9,400.00,5.9,-0.0
2025-11-10T10:00,92,33,0.00,1016.4,837.0,7260.00,6.0,0.1
2025-11-10T11:00,93,28,0.00,1015.8,836.8,5240.00,8.0,0.1
2025-11-10T12:00,96,25,0.00,1015.6,836.6,940.00,9.4,0.1
2025-11-10T13:00,97,23,0.00,1015.6,836.6,660.00,12.1,0.2
2025-11-10T14:00,100,22,0.00,1016.1,836.7,80.00,13.3,0.2
2025-11-10T15:00,100,20,0.00,1016.4,836.8,120.00,11.0,0.3
2025-11-10T16:00,100,15,0.00,1016.4,836.8,160.00,9.9,1.3
2025-11-10T17:00,100,8,0.00,1016.5,836.8,420.00,8.5,1.2
2025-11-10T18:00,100,3,0.00,1016.6,836.9,620.00,7.6,1.3
2025-11-10T19:00,100,1,0.00,1015.8,836.7,300.00,6.9,1.2
2025-11-10T20:00,100,0,0.00,1015.9,836.8,240.00,5.6,1.2
2025-11-10T21:00,100,0,0.00,1015.9,836.9,600.00,6.2,1.3
2025-11-10T22:00,100,0,0.10,1015.7,836.9,780.00,5.4,1.5
2025-11-10T23:00,99,0,0.20,1015.7,836.8,2080.00,5.4,1.4
2025-11-11T00:00,98,0,0.00,1015.6,836.7,2160.00,5.1,1.4
2025-11-11T01:00,98,0,0.00,1015.8,836.6,2100.00,7.9,1.2
2025-11-11T02:00,97,0,0.00,1015.5,836.3,3560.00,9.2,1.3
2025-11-11T03:00,96,0,0.00,1015.5,836.1,4860.00,10.8,1.3
2025-11-11T04:00,95,1,0.00,1015.5,836.1,6060.00,11.5,1.2
2025-11-11T05:00,95,2,0.00,1015.4,836.1,5940.00,11.7,1.2
2025-11-11T06:00,94,3,0.00,1015.6,836.2,6420.00,12.2,1.1
2025-11-11T07:00,94,4,0.00,1016.1,836.7,6420.00,12.2,0.9
2025-11-11T08:00,92,6,0.00,1016.4,837.3,9740.00,11.7,0.7
2025-11-11T09:00,91,8,0.00,1016.4,837.6,11120.00,13.9,0.8
2025-11-11T10:00,87,15,0.00,1016.2,837.8,20400.00,13.0,1.4
2025-11-11T11:00,90,18,0.00,1016.3,837.8,12560.00,13.2,1.4
2025-11-11T12:00,92,20,0.20,1016.4,837.7,9300.00,10.5,1.2
2025-11-11T13:00,94,22,0.60,1016.4,837.5,6740.00,9.7,1.0
2025-11-11T14:00,95,23,0.60,1016.7,837.6,6120.00,9.2,0.8
2025-11-11T15:00,96,24,0.60,1017.0,837.6,5100.00,8.5,0.6
2025-11-11T16:00,97,24,0.50,1017.4,837.8,4180.00,8.5,0.5
2025-11-11T17:00,97,24,0.20,1017.8,838.1,4020.00,7.6,0.6
2025-11-11T18:00,96,23,0.20,1018.2,838.4,5580.00,6.9,0.8
2025-11-11T19:00,96,21,0.00,1018.7,838.7,5880.00,6.8,0.8
2025-11-11T20:00,96,19,0.00,1019.1,838.9,6160.00,6.9,0.9
2025-11-11T21:00,96,16,0.00,1019.5,839.1,6460.00,6.9,0.9
2025-11-11T22:00,95,13,0.00,1019.7,839.2,8380.00,6.5,1.0
2025-11-11T23:00,93,10,0.00,1019.8,839.3,10280.00,6.2,1.0
2025-11-12T00:00,92,8,0.00,1019.9,839.3,12200.00,5.9,1.0
2025-11-12T01:00,94,6,0.00,1020.1,839.3,8820.00,5.1,0.9
2025-11-12T02:00,97,5,0.00,1020.3,839.2,5440.00,4.1,0.6
2025-11-12T03:00,98,3,0.00,1020.5,839.2,2060.00,3.6,0.5
2025-11-12T04:00,96,2,0.00,1020.7,839.2,5960.00,3.6,0.5
2025-11-12T05:00,93,1,0.00,1020.9,839.3,9880.00,3.7,0.5
2025-11-12T06:00,91,0,0.00,1021.2,839.7,13780.00,3.5,0.6
2025-11-12T07:00,92,0,0.00,1021.7,840.6,12200.00,3.7,0.6
2025-11-12T08:00,93,0,0.00,1022.3,841.8,10620.00,3.8,0.6
