idv,id1,id2,wchodzenie,schodzenie
1,28,24,45,45
2,24,7,15,15
3,7,22,90,60
4,22,16,60,60
5,16,15,30,30
6,24,25,30,45
7,25,21,10,10
8,21,8,20,15
9,9,22,75,45
10,2,3,120,70
11,3,4,60,45
12,4,17,45,45
13,26,6,60,40
14,6,18,40,30
15,18,19,12,8
16,17,16,25,25
17,14,15,105,60
18,12,14,60,45
19,13,12,45,60
20,10,13,60,30
21,11,10,60,35
22,11,21,90,90
23,21,9,35,25
24,9,14,75,45
25,26,7,30,15
26,24,26,30,15
27,8,7,30,30
28,9,8,15,15
29,9,10,50,60
30,10,12,75,50
31,19,17,35,20
32,25,21,10,10
33,20,16,15,15
34,7,23,120,60
35,23,20,15,15
36,23,19,10,10
37,23,6,75,45
38,27,1,70,65
39,2,1,50,50
40,5,3,90,90
41,5,4,35,20
42,6,4,60,35
43,6,5,25,15
44,2,1,40,40
45,1,6,105,75
46,1,26,75,50
